Title,Address,Description,Posted Date,Expiry Date,Price,Area,House Direction,Balcony Direction,Bedrooms,Toilets,Frontage,Entrance Width,Number of Floors,Legal Status,Interior,Listing Type,Listing ID
"Góc ngã 3 Trần Phú + Lý Nam Đế. Vị trí đắc địa bắt mắt. DT 54m2, MT6m, 42 tỷ, 6 tầng đẹp","Đường Trần Phú, Phường Hàng Bông, Hoàn Kiếm, Hà Nội","Ngã 3 giao thoa 2 con phố Lý Nam Đế + Trần Phú, vị trí đắc địa. DT 54m² x 6T xây chắc chắn cẩn thận - mặt tiền rộng 6m (woa) - giá tốt 42 tỷ. - Kênh này được tạo ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Chúng tôi luôn đặt mình vào vị trí của bạn để cung cấp những giải pháp tối ưu mang tính chiến lược cho mục tiêu dài hạn của anh chị cô chú. Liên hệ tôi nếu bạn có bất cứ thắc mắc hay cần sự hỗ trợ nào. Tùng Lâm bất động sản chiến lược  0948 332 *** . Email:  Batdongsanchienluoc@gmail.com",30/10/2024,29/11/2024,42 tỷ,54 m²,Tây,Tây,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,20 m,6 tầng,N/A,N/A,Tin thường,40254731
"Mặt phố Thọ Xương, phường Hàng Trống, quận Hoàn Kiếm, gần sát nhà thờ lớn, 1 sổ đỏ","Đường Thọ Xương, Phường Hàng Trống, Hoàn Kiếm, Hà Nội","Mặt phố Thọ Xương - Ấu Triệu, phường Hàng Trống, quận Hoàn Kiếm, pháp lý chuẩn chỉ 1 sổ đỏ giao dịch ngay. DT 60m² - MT gần 4m - 29 tỷ. Ngoài ra tôi còn nhiều BĐS đã qua chọn lọc kỹ càng, pháp lý sạch đẹp: Tại Trần Quốc Toản, Hàm Long, Hàng Chuối, Phố Huế, Hàng Bông, Hàng Bài,.. - Kênh này được tạo ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Chúng tôi luôn đặt mình vào vị trí của bạn để cung cấp những giải pháp tối ưu mang tính chiến lược cho mục tiêu dài hạn của anh chị cô chú. Tùng Lâm bất động sản chiến lược 0948 332 002. (Có thể tìm thấy tôi ở mọi nơi). Email:  Batdongsanchienluoc@gmail.com",27/10/2024,26/11/2024,29 tỷ,60 m²,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,4 m,6 m,3 tầng,N/A,N/A,Tin thường,41236292
"Nhà cổng phố Hàng Khay - Tràng Tiền thông Bà Triệu, 3 bước chân ngắm hồ Gươm, 2 thoáng vĩnh viễn","Phố Hàng Khay, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội","Căn biệt thự cũ 3 tầng còn sử dụng tốt, 2 thoáng, trên thửa đất 70m² mặt tiền 12m bề thế. Vị trí vô cùng đắc địa, chỉ 3 bước chân ra đến hồ Gươm, cổng nhà mặt phố Hàng Khay. Đáp ứng mọi nhu cầu cải tạo biệt thự ở, hay khách sạn nhà hàng cao cấp đều phù hợp. Vị trí đảm bảo giá trị, khẳng định vị thế. Duy nhất còn sót lại, với giá thành hợp lý. Gia chủ Hà Nội phố điềm đạm hòa nhã. Pháp lý sổ đỏ sẵn sàng giao dịch, đáp ứng mọi tiêu chuẩn cấp phép xây dựng. Liên hệ xem nhà qua số:  0327 560 *** cháu Việt cháu chủ nhà).",10/11/2024,17/11/2024,23 tỷ,70 m²,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,12 m,3 m,3 phòng,N/A,N/A,Tin VIP Bạc,41482753
Bán nhà quận Hoàn Kiếm - 30m ra phố - 2 thoáng trước sau - oto đỗ cửa - nội thất đẳng cấp,"Đường Cầu Đất, Phường Chương Dương, Hoàn Kiếm, Hà Nội","- Một căn duy nhất nội thất đẳng cấp - gần phố - oto đỗ cửa - 2 thoáng trước sau. - Khu vực kinh doanh sầm uất, gần phố, nhà dân xây, khung cột chắc chắn. - Hàng xóm thân thiện đều là quan chức nhà nước, chủ nhà làm ăn phát đạt. - Thiết kế. - Tầng 1. Bếp, để xe. - Tầng 2. Phòng khách, 1 Ngủ, Wc. - Tầng 3.4. Mỗi tầng 2 ngủ, Wc. - Tầng 5. 1 Sân phơi, 1 Sân tiểu cảnh. - Sổ vuông vắn, sang tên nhanh chóng.",09/11/2024,16/11/2024,"12,88 tỷ",60 m²,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,6 m",4 m,4 phòng,N/A,N/A,Tin VIP Bạc,41394221
Nhà mặt phố Hàng Giấy - TT Hoàn Kiếm - vị trí đẹp 6 tầng kinh doanh đỉnh - DT 156m2 giá chào 139 tỷ,"Phố Hàng Giấy, Phường Đồng Xuân, Hoàn Kiếm, Hà Nội","Bán nhà mặt phố Hàng Giấy, Phường Đồng Xuân! - Diện tích 156m² x 6 tầng. Mặt tiền 5.5m. Giá chào 139 tỷ (có thương lượng). - Vị trí đắc địa mặt phố Hàng Giấy trung tâm quận Hoàn Kiếm khu vực vip hiếm nhà bán kinh doanh đỉnh cao ngày đêm mọi loại hình! - Thiết kế 6 tầng thang máy nội thất đẳng cấp! - Khu vực dân trí cao, giao thông thuận tiện! - Sổ đỏ vuông đẹp, sẵn sàng giao dịch! Liên hệ em Quân  0964 008 *** /Zalo để được tư vấn và mua nhà giá tốt 24/7. Miễn (TG Quảng Cáo).",09/11/2024,16/11/2024,139 tỷ,156 m²,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"5,5 m",20 m,6 phòng,N/A,N/A,Tin VIP Bạc,41477459
Chính chủ bán hotel 4* hiếm có - khó tìm mặt phố cách hồ Hoàn Kiếm vài phút đi bộ,"Phường Hàng Trống, Hoàn Kiếm, Hà Nội","Diện tích dưới 600 m² cao 13 tầng, mặt tiền siêu rộng phố cổ, ưu điểm vượt trội trên phố cổ Hoàn Kiếm. Tổng hơn 120 phòng tiêu chuẩn 4 sao, 1 bể bơi, skybar... Giấy phép: Kinh doanh khách sạn, PCCC đầy đủ, doanh thu ổn định khoảng 90 tỷ/năm. Chủ xinh đẹp thiện chí bán nên giá cả thương lượng dễ dàng. Giá thỏa thuận. Mr Kiênkeangnam. BĐS Hàng Hiệu Triệu Người Mê. 0944 348 ***",09/11/2024,24/11/2024,Thỏa thuận,600 m²,120 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,13 tầng,120 phòng,N/A,N/A,N/A,Tin VIP Bạc,41042405
Bán nhà lô góc 2 thoáng 4 tầng 3 ngủ giá chỉ 3.8 tỷ Hoàn Kiếm,"Phường Chương Dương, Hoàn Kiếm, Hà Nội",Chính chủ cần bán nhà. 3 ngủ 4 tầng khách bếp đầy đủ công năng. Lô góc kinh doanh ngõ thông nhỏ xinh giá hợp lý.,08/11/2024,16/11/2024,"3,8 tỷ",16 m²,2 phòng,N/A,N/A,N/A,4 tầng,3 phòng,N/A,N/A,N/A,Tin VIP Bạc,41376895
"Bán nhà mặt phố Lý Nam Đế, DT 114m2, Mt 4m, xây 3 tầng, giá 400tr/m2","Đường Lý Nam Đế, Phường Cửa Đông, Hoàn Kiếm, Hà Nội","1. Bán nhà mặt phố Lý Nam Đế, dt 114m², mt 4m, xây 3 tầng, giá 400tr/m², một sổ đỏ chính chủ lâu dài, 2. Bán nhà mặt phố Lý Nam Đế, dt 45m², mt 5,3m, lô góc, 3 mặt thoáng, xây 3 tầng, giá bán 20 tỷ, sổ đỏ chính chủ lâu dài, liên hệ:  0965 190 ***",07/11/2024,17/11/2024,"45,6 tỷ",114 m²,5 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,3 tầng,5 phòng,N/A,N/A,N/A,Tin VIP Bạc,38811534
"Bán khách sạn 4 sao mặt phố Hàng Bông diện tích 362m2 xây 10 tầng 55 phòng MT 10m, ô góc 3 thoáng","Phố Hàng Bông, Phường Hàng Bông, Hoàn Kiếm, Hà Nội","1. Bán khách sạn 4 sao mặt phố Hàng Bông - Hoàn Kiếm. + Diện tích xây dựng 362m², Xây 10 tầng, tiêu chuẩn 4 sao. + Thông tin mô tả. Bán khách sạn mặt phố Hàng Bông, 362m², 10 tầng 2 thang máy, thiết 55 phòng full nội thất cao cấp, bể bơi, tiêu chuẩn 4 sao. + Vị trí đắc địa siêu đẹp, siêu hiếm, không có căn thứ 2. Lô góc 3 mặt thoáng đang KD khách sạn, dòng tiền 20 tỷ/năm. + Kết nối giao thương các tuyến đường chính của quận Hoàn Kiếm, Ba Đình, Hai Bà Trưng, Đống Đa, Tây Hồ. + Cách Hồ Hoàn Kiếm, Nhà Hát Lớn, Nhà Thờ Lớn, Phố Cổ, Phố Đi Bộ, chợ Đêm 5 phút di chuyển. + Sổ đỏ nở hậu, giấy phép dựng, bản vẽ thiết kế, hoàn công tài sản gắn liền trên đất đầy đủ. + Khách chỉ việc vào thu dòng tiền đều đặn hàng quý. 2. Bán khách sạn mặt phố Hàng Bài diện tích 500m² xây dựng 3 hầm 9 nổi, mặt tiền 11m, nhà 1 sổ 1 chủ, thiết kế bao gồm 60 phòng khách sạn full nội thất cao cấp, dòng tiền 1,2 tỷ/tháng. 3. Bán tòa nhà mặt phố Hàng Bài diện tích 300m² xây 1 hầm 9 nổi, mặt tiền 9m, nhà đầy bản vẽ thiết kế, giấy phép xây dựng, hoàn công tài sản gắn liền trên đất, giấy phép phòng cháy chữa cháy thành phố cấp, dòng tiền kinh doanh 1 tỷ/thg, pháp lý 1 sổ 1 chủ. 4. Bán tòa căn hộ sổ đỏ chính chủ diện tích 160m² xây dựng 1 hầm 9 nổi mặt tiền 8,5m, nhà đầy đủ bản vẽ thiết kế, giấy phép xây dựng, hoàn công tài sản gắn liền trên đất, giấy phép phòng cháy chữa cháy thành phố cấp, hoàn thiện nội thất cao cấp toàn bộ đều là đồ nhập khẩu đức, dòng tiền cho thuê 550tr/thg, pháp lý 1 sổ 1 chủ, sẵn sàng giao dịch. 5. Bán tòa căn hộ dòng tiền diện tích 133m² sổ đỏ xây dựng 2 hầm 9 nổi, mặt tiền 7,5m, nhà 1 sổ 1 chủ, dòng tiền cho thuê 450tr/thg. 6. Bán tòa nhà bất động sản dòng tiền mặt phố diện tích 271m² xây dựng 7 tầng thang máy, dòng tiền 500tr/thg, vị trí đẹp sát Hồ Gươm. 7. Bán khách sạn mặt phố Hàng Bông diện tích 198m² xây dựng 7 tầng thang máy, thiết kế 25 phòng, cho thuê 12.000usd/th, giá 155 tỷ. 8. Bán khách sạn mặt phố Hàng Gia diện tích sổ 155m² xây dựng 10 tầng, thiết kế 30 phòng khách sạn, cho thuê 550tr/th. 9. Bán khách sạn mặt phố Hàng Buồm diện tích 300m² xây 7 tầng mặt tiền 10m, thiết kế 38 phòng khách sạn, dòng tiền 500tr/th. 10. Bán tòa nhà mặt phố Lý Thường Kiệt diện tích 700m² xây 11 tầng mặt tiền 50m, đã hoàn công tài sản gán liền trên đất, phòng cháy đầy đủ, dòng tiền 1,5 tỷ /thg, pháp lý 1 sổ 1 chủ. Liên hệ: TrangBui  0986 396 ***  miễn quảng cáo và môi giới làm phiền.",07/11/2024,14/11/2024,Thỏa thuận,362 m²,55 phòng,55 phòng,Đầy đủ,N/A,10 m,10 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin VIP Bạc,41086865
"Bán nhà sổ đỏ chính chủ mặt phố Hàng Gà diện tích sổ 80m2 xây dựng 3 tầng 1 sổ 1 chủ, nở hậu 51 tỷ","Phố Hàng Gà, Phường Cửa Đông, Hoàn Kiếm, Hà Nội","Bán nhà sổ đỏ chính chủ mặt phố Hàng Gà (cạnh nhà lô góc). Diện tích sổ 80m² xây dựng 3 tầng. Nhà 1 sổ 1 chủ, sổ vuông vắn, đẹp, nở hậu. Vị trí đẹp, đường 2 chiều, thuận tiện đi lại và ở, cho thuê kinh doanh. Hiện gia đình đang cho thuê kinh doanh có dòng tiền. Thích hợp cho khách mua về xây lại để ở, làm khách sạn, văn phòng, tòa căn hộ, hoặc giữ nguyên trạng cho thuê để giữ tài sản và có dòng tiền thu nhập... Giá: 51 tỷ (625tr/m² sổ đỏ, cực kỳ hợp lý tại vị trí trung tâm quận Hoàn Kiếm thời điểm này). Liên hệ: TrangBui  0986 396 ***  miễn quảng cáo và môi giới làm phiền.",07/11/2024,14/11/2024,51 tỷ,80 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,3 tầng,4 phòng,N/A,N/A,N/A,Tin VIP Bạc,40496825
"Cần bán nhà lô góc mặt phố Mã Mây, Quận Hoàn Kiếm. DT sổ 55m2 x 4,5T, MT 6m. Vị trí đẹp KD sầm uất","Phố Mã Mây, Phường Hàng Buồm, Hoàn Kiếm, Hà Nội","Gia đình cần bán gấp nhà lô góc mặt phố Mã Mây, Quận Hoàn Kiếm - TP Hà Nội. - DT sổ 55m² x 4,5T, MT 6m. (Vuông đẹp). - Vị trí nhà mặt phố nằm đoạn đẹp và đắc địa nhất Phố Mã Mây. Nhà đi ra Bờ Hồ Gươm Hoàn Kiếm rất gần tầm 2phút đi bộ. - Phố Mã Mây là con phố trung tâm quận Hoàn Kiếm - kinh doanh thương mại sầm uất ngày đêm. - Nhà lô góc 2 mặt phố rất đẹp. Đường ô tô 2 chiều, vỉa hè rộng. Giao thông đi lại thoải mái thuận tiện. - Gia đình cần bán đi để chia tài sản cho các con. - Thích hợp mua để kinh doanh sầm uất hoặc cho thuê... Vv (hiện tại đang có đơn vị hỏi thuê cả nhà được 180triệu/tháng. - Sổ đỏ chính chủ, vuông vắn đẹp. Gia đình thiện chí cần bán. * Liên hệ trực tiếp gia đình Anh Minh, Chị Anh Thư:  0846 998 *** ,  0966 886 *** . * Miễn trungg gian, không tiếp văn phòng môi giới, xin cảm ơn.",07/11/2024,14/11/2024,47 tỷ,55 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,6 m,5 tầng,N/A,N/A,N/A,Tin VIP Bạc,41268258
"Chính chủ bán nhà lô góc, một mặt phố, một mặt ngõ phố Trần Quốc Toản. DT 28m2. Mặt tiền 3.6m","Đường Trần Quốc Toản, Phường Hàng Bài, Hoàn Kiếm, Hà Nội","- Bán nhà một mặt phố, một mặt ngõ Trần Quốc Toản. - DT 28m². Mặt tiền 3.6m. - Cách Phố Huế 50m. Thuận lợi cho việc kinh doanh. - Sổ đỏ chính chủ. - Miễn trung gian. - LH:  0903 441 ***",06/11/2024,13/11/2024,"9,2 tỷ",28 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,"3,6 m",Nam,N/A,N/A,N/A,Tin VIP Bạc,41188461
"Bán nhà sổ đỏ chính chủ phố Liên Trì diện tích 91m2 x 4T có GPXD 8 tầng, vị trí đẹp giá cực hợp lý","Phố Liên Trì, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội","1. Bán nhà sổ đỏ chính chủ phố Liên Trì. + Diện tích sổ 91m². + Đã có giấy phép xây dựng 8 tầng. + Vị trí đẹp thích hợp kinh doanh căn hộ và để ở. + Ô tô 9 chỗ đỗ cửa. + Giá: 24,5 tỷ. 2. Bán nhà phố Đoàn Nhữ Hài diện tích sổ 68m² x 2 tầng, giá 26 tỷ. 3. Bán nhà phố Trần Nhân Tông diện tích 35m² x 5 tầng mặt tiền 5m, giá 29 tỷ. 4. Bán nhà phố Hạ Hồi diện tích 79m² xây 9 tầng, dòng tiền 95tr/thg, giá 23,5 tỷ. 5. Bán nhà phố Hàm Long diện tích 82m² x 7 tầng thang máy, mặt tiền 4,5m nở hậu 5m, nhà 2 mặt thoáng, giá 36 tỷ. 6. Bán nhà phố yết kiêu diện tích 80m² x 7 tầng mặt tiền 4,5m giá 30,2 tỷ. 7. Bán nhà phố hàm long diện tích 70m² x 5 tầng mặt tiền 4,2m giá 20,2 tỷ. 8. Bán nhà Ngõ Trần Hưng Đạo 70m² x 5 tầng ô góc 3 mặt thoáng mặt tiền 5,5m giá 27 tỷ. 9. Bán nhà phố Hàm Long Diện tích sổ 55m² xây 9 tầng thang máy Mitshubishi nhà mới đẹp, giá 20 tỷ. 10. Bán nhà phố hàm long diện tích 50m² x 1 tầng, giá 15 tỷ. 11. Bán nhà Hàm Hương diện tích 65m² x 6 tầng thang máy, giá 26,5 tỷ. 12. Bán tòa căn hộ sổ đỏ chính chủ Tức Mạc Hoàn Kiếm 120m² x 8 tầng, mặt tiền 6,8m nở hậu, nhà 2 mặt thoáng, dòng tiền cho thuê 120tr/thg, giá 45 tỷ. Liên hệ: TrangBui  0986 396 ***  miễn quảng cáo và môi giới làm phiền.",06/11/2024,13/11/2024,"24,5 tỷ",91 m²,Sổ đỏ/ Sổ hồng,Không nội thất,N/A,N/A,6 m,4 tầng,N/A,N/A,N/A,Tin VIP Bạc,41001491
