Tiêu đề,Địa chỉ,Miêu tả,Ngày đăng,Ngày hết hạn,Giá,Diện tích,Hướng nhà,Hướng ban công,Số phòng,Vệ sinh,Mặt tiền,Chiều rộng mặt tiền,Số tầng,Tình trạng  pháp lý,Nội Thất Cao Cấp,Loại danh sách,ID danh sách
"Mới cứng ngõ chợ Khâm Thiên - Đống Đa - 15m, 5 tầng, siêu rẻ","Phố Khâm Thiên, Phường Trung Phụng, Đống Đa, Hà Nội","- Nhà ngõ chợ Khâm Thiên trung tâm Đống Đa - HN. - Mới đẹp vào ở được ngay. - Nhà lô góc 2 mặt thoáng ngõ rộng xe ba gác, mặt tiền 3,5m thoáng đãng. - Nhà 5 tầng: 4 ngủ + 4 vệ sinh + 1 khách bếp + 1 sân thượng. - Để lại toàn bộ nội thất cho khách giường tủ máy giặt 3 điều hoà nóng lạnh. - Tiện ích bán kính 300m đầy đủ tiện nghi, vài bước ra chợ, trường học bệnh viện. - Nhà mua bán vi bằng, mong quý anh chị đọc kỹ thông tin ạ. - (Nhà không quy hoạch) E: Hùng  0904 598 ***",30/10/2024,15/11/2024,"1,8 tỷ",15 m²,4 phòng,Vi bằng,N/A,N/A,5 tầng,4 phòng,N/A,N/A,N/A,Tin thường,41372319
"Chính chủ bán căn hộ tập thể mặt phố Thái Thịnh, Đống Đa, Hà Nội","Thái Thịnh, Ngã Tư Sở, Đống Đa, Hà Nội","Do chuyển đổi nơi làm việc, tôi có nhu cầu bán lại căn hộ tại C4 Vĩnh Hồ, mặt phố Thái Thịnh, Ngã Tư Sở, Đống Đa, Hà Nội. Nhà đã cải tạo đẹp, về ở được luôn. Khu vực dân trí cao, hàng xóm thân thiện, tiện ích đầy đủ, cực gần chợ, siêu thị, bệnh viện, trường học, TTTM,... Có chỗ gửi xe và sân chơi ngay dưới chân toà nhà. Kết nối giao thông cực kỳ thuận tiện ra các phố Thái Hà, Chùa Bộc, Tây Sơn, Nguyễn Trãi, Láng, Láng Hạ, Yên Lãng... Diện tích sử dụng: 30m. Sổ đỏ chính chủ, sẵn sàng giao dịch, khách thiện chí có thể thương lượng giá. Xem nhà bất cứ thời gian nào trong ngày. Tôi chủ nhà muốn làm việc trực tiếp với khách mua, không làm việc qua môi giới. Xin cảm ơn!",09/11/2024,19/11/2024,"1,85 tỷ",30 m²,2 phòng,1 phòng,Cơ bản,N/A,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41479293
"Bán tập thể Văn Chương, SĐCC, 2 ngủ chỉ 1,85 tỷ","Đường Hồ Văn Chương, Phường Văn Chương, Đống Đa, Hà Nội","Gia đình tôi chuyển nhà, chuyển chỗ ở cần bán nhanh căn tập thể ngay gần Hồ Văn Chương, Quận Đống Đa, Hà Nội. Nhà tôi đang ở đã sửa đẹp, chắn chắn, được 2 phòng ngủ. Dưới nhà là sân tập thể thao, chợ dân sinh, Hồ điều hòa mát mẻ đi đâu cũng tiện. Nhà có diện tích sàn là 52m², 2 phòng ngủ, khách bếp wc đầy đủ. Pháp lý: SĐCC riêng biệt sang tên. Liên hệ:  0936 108 ***",09/11/2024,19/11/2024,"1,85 tỷ",52 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41318997
"Bán Chung Cư Thái Hà - Thái Thịnh 2PN, Full Đồ","Phường Thịnh Quang, Đống Đa, Hà Nội","Cần Bán Chung cư mini Thái Thịnh - Thái Hà + 1PN - 2PN, full đồ + Ban công thoáng + Căn 1PN: Giá 990tr - 1.45 tỷ + Căn 2PN: Giá từ 1.5 tỷ -  1.8 tỷ LH:  0968 601 ***",09/11/2024,16/11/2024,"1,88 tỷ",55 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin VIP Vàng,41475522
"Hiếm! Bán căn CCMN mới 2PN đường Tây Sơn - Ngã Tư Sở, đầy đủ nội thất, gần ô tô, nhận nhà ở ngay","Đường Tây Sơn, Phường Ngã Tư Sở, Đống Đa, Hà Nội","- CĐT bán căn hộ CCMN mới 99%, thuộc phố Thái Thịnh - Tây Sơn. Ngõ thông tứ phía, giao thông thuận tiện đi lại. - Gần nhiều trường ĐH lớn: ĐH Thủy Lợi, HV Ngân Hàng, Đh Công Đoàn,... - Tòa nhà mới xây, trang bị đầy đủ hệ thống PCCC, thang thoát hiểm, cửa chống cháy, vòi phun tự động, đảm bảo tiêu chuẩn PCCC. - Căn hộ DT 52m², TK 2Pn + 1pk + WC. - Nội thất đầy đủ: Tivi, tủ lạnh, điều hòa, giường, tủ, sofa,... - Mua bán ký HĐMB vi bằng trực tiếp CĐT, tách sổ đồng sở hữu. - Giá: 1tỷ88 (có bớt). * Liên hệ trực tiếp CĐT:  0989 446 ***",07/11/2024,17/11/2024,"1,88 tỷ",52 m²,Hợp đồng mua bán,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41453004
"Bán CCMN mới đường Thái Hà - Thái Thịnh. Căn 50m2, 2PN, mặt ngõ, ban công thoáng. Giá 1ty8x","Phố Thái Hà, Phường Ngã Tư Sở, Đống Đa, Hà Nội","Bán CCMN Mới đường Thái Hà - Thái Thịnh - Đống Đa. Căn 50m², 2PN, mặt ngõ, ban công thoáng. Vị trí: Trung tâm quận Đống Đa, gần phố, giao thông thuận tiện đi lại. Căn hộ xây mới 50m², mặt ngõ, full nội thất, nhận nhà ở ngay. Giá bán: 1ty880 (có thương lượng). * Liên hệ chính chủ:  0989 446 ***",05/11/2024,15/11/2024,"1,88 tỷ",50 m²,Hợp đồng mua bán,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41427184
CĂN HỘ MINI GIA ĐÌNH ĐƯỜNG LÁNG - CHỈ 1.9 TỶ!,"Đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội","CĂN HỘ MINI GIA ĐÌNH ĐƯỜNG  CĂN HỘ MINI GIA ĐÌNH ĐƯỜNG LÁNG - CHỈ 1.9 TỶ!  Căn hộ full nội thất xịn, thiết kế hợp lý: 1 phòng ngủ, dễ dàng cải tạo thành 2 phòng ngủ rộng rãi.  Ban công rộng thênh thang, không gian sống thoải mái, gần phố, tiện ích đầy đủ.  Phí xe máy miễn phí, dịch vụ bảo vệ 24/7, Sẵn thang máy thuận tiện di chuyển, điện nước giá nhà nước.  Pháp lý rõ ràng, sẵn sàng giao dịch ngay!  Chỉ 1.9 tỷ - Liên hệ ngay để xem nhà! - CHỈ 1.9 TỶ!  Căn hộ full nội thất xịn, thiết kế hợp lý: 1 phòng ngủ, dễ dàng cải tạo thành 2 phòng ngủ rộng rãi.  Ban công rộng thênh thang, không gian sống thoải mái, gần phố, tiện ích đầy đủ.  Phí xe máy miễn phí, dịch vụ bảo vệ 24/7, Sẵn thang máy thuận tiện di chuyển, điện nước giá nhà nước.  Pháp lý rõ ràng, sẵn sàng giao dịch ngay!  Chỉ 1.9 tỷ - Liên hệ ngay để xem nhà!",08/11/2024,18/11/2024,"1,9 tỷ",60 m²,Hợp đồng mua bán,Full,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41462718
"Em chính chủ, bán CCMN Pháo Đài Láng, 60 m2 2PN. chào: 1.9 tỷ. LH em: 0362 889 ***","Ngõ 157, Phố Pháo Đài Láng, Phường Láng Hạ, Đống Đa, Hà Nội","Em chính chủ bán căn CCMN tại Pháo Đài Láng, ngõ 157, ô tô gần nhà. Diện tích: 60m². 2PN. 1PK rộng. Nhà xây vô cùng kiên cố. Không ẩm ướt, mối mọt. Nhà tôi đủ đồ các bác đến chỉ việc ở. Nhà phù hợp đông con cháu... Giá chào : 1.9 tỷ có bớt cho bác nào thiện chí. Lh em (chính chủ):  0362 889 ***",09/11/2024,19/11/2024,"1,9 tỷ",60 m²,Hợp đồng mua bán,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41329633
"Chung cư mini 157 Pháo Đài Láng 60m2, 2 ngủ, 1 WC, 1.9 Tỷ - Full đồ","Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội","Cần bán chung cư mini Phố Pháo Đài Láng, Đống Đa, Hà Nội. Diện tích 60m²  2PN, 1VS - giá 1,9 tỷ + Thiết kế: 2PN-1VS-1PK-1 bếp - Nội thất: Chủ để lại toàn bộ nội thất, điều hòa,nóng lạnh ,giường tủ - Vị trí: 157 pháo Đài láng, Đống Đa, Hà Nội - Pháp lý: Mua Bán vi bằng, chủ mới mua đứng tên luôn. - Phí dịch vụ:80k/ tháng(gồm 2 xe máy,dịch vụ thang máy,bảo vệ) - Pháp lý:  chuẩn, mua bán vi bằng LH ngay  0816 919 ***   để được hỗ trợ.",08/11/2024,18/11/2024,"1,9 tỷ",60 m²,Hợp đồng mua bán,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,41471186
"Bán căn hộ chung cư tại Thổ Quan Khâm Thiên, 52m2, 2PN, 2WC, PK, bếp, chỉ 1 tỷ chín","Ngõ Thổ Quan, Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội","Căn Hộ chung cư tại ngõ Thổ Quan Khâm Thiên, Đống Đa. 52m², 2PN, 2 WC, ok, bếp, ban công phơi đồ máy giặt, nhà còn mới thông thoáng, cầu thang máy và cầu thang bộ. Ngõ rộng nông ô tô 4 chỗ đỗ tại cửa. Trung tâm của mọi Trung tâm đi đâu cũng tiện. Tiện ích công năng bạt ngàn. Dân trí cao, an ninh tốt. Hệ thống phòng cháy đảm bảo, có thoát hiểm, điện nước tốt, dịch vụ đủ. Toà nhà sổ đỏ chung, mỗi hộ một sổ, mua bán sang tên vi bằng. Chính chủ có thiện chí, vị trí cực đẹp và hiếm nhà bán.",07/11/2024,18/11/2024,"1,9 tỷ",52 m²,Mua bán sang tên vi bằng,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin thường,41331640
Em chính chủ bán nhà riêng sổ 12.1m. 4 tầng. Phố Tôn Đức Thắng,"Phố Tôn Đức Thắng, Phường Văn Chương, Đống Đa, Hà Nội","Em chính chủ ạ. Sổ đỏ chính chủ. Trên sổ là 12.1m² vuông. Thực tế tầng 1 và tầng 2 diện tích như trên sổ. Tầng 3 và 4 đua ra 4m nữa và làm liền phòng tính ra là tầng 3 và 4 là 16m ạ. Mấy ảnh đầu thì là mới còn mấy ảnh cuối là ảnh e chụp cách đây 5 năm. Ảnh chụp cam góc rộng lên có vẻ nó sẽ cảm giác rộng hơn. Lúc e mua nhà. Hiện tại thì vẫn nguyên vậy và e cũng ko sơn sửa gì chỉ có con nó nghịch tô vẽ tường lên bẩn thôi ạ. Nhà này phù hợp với gia đình nhỏ có. Vk chồng mới cưới hoặc con cái lên học hành hay cho thuê đều được ạ. Cách 300m là Văn Miếu Quốc Từ Giám. 200m là Ô Chợ Dừa. Lý do. Là em đã mua nhà to hơn rồi. Hiện tại thì vẫn đang ở nhà này chưa chuyển. Các bác có đến xem thì vẫn đang ở nhà này ạ. Nhà này em mua năm 2019. Từ đường Tôn Đức Thắng đi vào khoảng hơn 30m. Gần đường ạ. Nếu bán hàng online rất tiện ạ. Có chỗ để xe máy bên ngoài thoải mái. Ban đêm vẫn để đc ạ miễn là khóa vào. Thông số cụ thể. Nhà sổ đỏ chính chủ, pháp lý sạch sẽ ko vết gợn ạ. Các bác có thể check trên phường hay quận thoải mai ạ. Trên sổ đỏ là 12.1 m vuông. Thực tế thì tầng 1 và 2 diện tích như sổ. Tầng 3 và 4 đua ra khoảng 4 mét và liền phòng luôn ạ. Lên sẽ rộng hơn. 1 nhà vệ sinh tầng 1. Nhà thiết kế rất gọn gàng ko có chỗ thừa ạ. Điểm yếu duy nhất là cửa vào chỉ rộng tầm hơn 1m. Các bác dắt xe máy vào trong nhà thoải mái ạ. Đồ đạc thì có những ji e để nguyên vậy ạ. 1 máy giặt để tầng 4. 1 tủ lạnh đê tầng 1. 2 điều hòa để tầng 2 và tầng 3. 1 tivi tầng 3 và 1 tivi tầng 2. Bàn ghế linh tinh râu ria nói chung cũng ko đáng mấy tiền. Em bán hàng về máy móc, không phải môi giới hay đầu tư hay ji cả. Khi bán nhà cũng mô tã rất rõ chuẩn cho các bác để các bác không phải mất công hỏi nhiều. Thông tin đều rất sạch sẽ rõ ràng ko mập mờ bất cứ thứ ji. Time này e cũng chưa cần đến môi giới ạ và chỉ mún gặp ng có nhu cầu mua thật. Giá 1tỷ950 triệu và có thương lượng ạ nếu các bác đến xem và nc trực tiếp nếu vào việc ạ. Vì thuận mua vừa bán cả 2 bên là đẹp. Số em  0775 809 *** . Em chưa làm việc với môi giới đâu và cũng chưa có nhu cầu tìm đến môi giới ạ.",06/11/2024,17/11/2024,"1,95 tỷ","12,1 m²",Nam,Nam,2 phòng,1 phòng,2 m,32 m,4 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tin thường,41448656
"Cần bán gấp căn hộ CCMN 2PN mới phố Nguyễn Trãi - Tây Sơn, full nội thất, DT 52m2, giá 1tỷ980","Đường Nguyễn Trãi, Phường Ngã Tư Sở, Đống Đa, Hà Nội","* Gần các trường đại học lớn: Đại Học Thủy Lợi, ĐH Khoa Học Tự Nhiên, ĐH Nhân Văn, ĐH Công Đoàn, * Vị trí chung cư: Trung tâm quận Đống Đa, gần các tuyến đường lớn: Nguyễn Trãi, Tây Sơn, Trường Chinh, Đường Láng, * Gần ngay trường mầm non, tiểu học, trung học, gần công viên, trung tâm thương mại, nằm cạnh Royal City. * Tòa nhà được trang bị 1 thang máy tốc độ cao, bảo vệ trực 24/24, PCCC hiện đại. + Căn hộ được thiết kế 2PN + 1PK + 1WC và Bếp. * Giá bán: 1tỷ980 (đã bao gồm chi phí làm sổ và nội thất căn hộ). * Nội thất: Tủ bếp trên dưới, bếp từ, hút mùi, thiết bị vệ sinh, bình nóng lạnh, đầu chờ internet, điều hòa, Liên hệ trực tiếp chủ nhà.  0989 446 ***",01/11/2024,11/11/2024,"1,98 tỷ",52 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,1 phòng,N/A,N/A,N/A,Tin thường,40784874
Nhà 3 tầng dân xây 68m2 - 10 tỷ - gần hồ - phố Trần Hữu Tước - Đống Đa,"Đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Hà Nội","Nhà riêng 3 tầng tọa lạc tại đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Hà Nội. 30m ra phố, 50m ra Hồ Nam Đồng, đầy đủ tiện nghi... - Diện tích sử dụng 68m², phù hợp cho gia đình hoặc đầu tư. - Có 3 PN và 3 VS, không gian rộng rãi và thoải mái. - Ngõ vào rộng 3m, dễ dàng di chuyển phương tiện. - Mặt tiền 4.3m, lý tưởng cho việc kinh doanh hoặc cho thuê. - Pháp lý đầy đủ, đảm bảo an tâm cho giao dịch. Liên hệ Nguyễn Ngọc Tùng qua số điện thoại  0975 761 ***  để được tư vấn miễn phí.",10/11/2024,20/11/2024,10 tỷ,68 m²,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,"4,3 m",3 m,3 phòng,N/A,N/A,Tin thường,41365067
Em bán 2 căn duplex tại Hateco Laroma sửa theo ý mình muốn giá chỉ 15 tỷ,"Dự án Hateco Laroma, Phường Láng Thượng, Đống Đa, Hà Nội","Tọa lạc tại Hateco Laroma, Phường Láng Thượng, Đống Đa, Hà Nội, căn hộ chung cư này mang đến không gian sống lý tưởng cho các chuyên gia và doanh nhân. Quỹ căn hộ. 239,4m² 19,5 tỷ bao phí sửa theo nhu cầu của mình. 186m² 15,5tỷ bao phí sửa theo nhu cầu của mình. Pháp lý đầy đủ, đảm bảo quyền lợi cho người sở hữu. Đây là cơ hội tuyệt vời để bạn tìm kiếm một không gian sống đẳng cấp tại trung tâm Hà Nội. Để biết thêm thông tin chi tiết và nhận tư vấn miễn phí, vui lòng liên hệ Lê Tuấn Anh qua số điện thoại  0792 862 ***",01/11/2024,16/11/2024,10 tỷ,186 m²,3 phòng,4 phòng,Không nội thất,N/A,Đông,Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41390618
"Chính chủ cần bán căn hộ 2N tại Hateco Laroma-Láng Thượng, DT 102m2, sẵn sổ. Giá hơn 10tỷ, nhà mới","Dự án Hateco Laroma, Phường Láng Thượng, Đống Đa, Hà Nội","Nhà tôi thiết kế 2 phòng ngủ, 2WC, 1 phòng kho thoáng mát quanh năm. - Diện tích: 102m². - Sẵn sổ, Nhà mới tinh - Pháp lý rõ ràng, giao dịch nhanh chóng - Liên hệ xem nhà:  0971 397 ***",08/11/2024,18/11/2024,10 tỷ,102 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin thường,41312456
